seqnames1	start1	end1	seqnames2	start2	end2	name	selected_anch1	selected_anch2	loop_class	celltype
chr1	238060314	238061314	chr1	238187314	238188314	chr1_238060814_238187814	enhancer	NA	E/P-other	GM12878
chr3	118772500	118773500	chr3	118808500	118809500	chr3_118773000_118809000	enhancer	enhancer	E-E	GM12878
chr3	118782500	118783500	chr3	118808500	118809500	chr3_118783000_118809000	enhancer	enhancer	E-E	GM12878
chr3	118782500	118783500	chr3	119239500	119240500	chr3_118783000_119240000	enhancer	NA	E/P-other	GM12878
chr3	118782500	118783500	chr3	119637500	119638500	chr3_118783000_119638000	enhancer	enhancer	E-E	GM12878
chr3	118782500	118783500	chr3	119293500	119294500	chr3_118783000_119294000	enhancer	promoter	E-P	GM12878
chr3	118808500	118809500	chr3	119351500	119352500	chr3_118809000_119352000	enhancer	enhancer	E-E	GM12878
chr3	118809500	118810500	chr3	118850500	118851500	chr3_118810000_118851000	enhancer	NA	E/P-other	GM12878
chr3	118809500	118810500	chr3	119628500	119629500	chr3_118810000_119629000	enhancer	enhancer	E-E	GM12878
chr3	118809500	118810500	chr3	119562500	119563500	chr3_118810000_119563000	enhancer	enhancer	E-E	GM12878
chr3	118809500	118810500	chr3	119466500	119467500	chr3_118810000_119467000	enhancer	NA	E/P-other	GM12878
chr3	118809500	118810500	chr3	119638500	119639500	chr3_118810000_119639000	enhancer	enhancer	E-E	GM12878
chr3	118809500	118810500	chr3	119579500	119580500	chr3_118810000_119580000	enhancer	promoter	E-P	GM12878
chr3	118809500	118810500	chr3	119676500	119677500	chr3_118810000_119677000	enhancer	promoter	E-P	GM12878
chr3	118809500	118810500	chr3	120094500	120095500	chr3_118810000_120095000	enhancer	promoter	E-P	GM12878
chr3	118809500	118810500	chr3	119598500	119599500	chr3_118810000_119599000	enhancer	enhancer	E-E	GM12878
chr3	118809500	118810500	chr3	119700500	119701500	chr3_118810000_119701000	enhancer	enhancer	E-E	GM12878
